arm	life	seed	presence_surface_boundary	transcript_sha256	state_sha256	wonder_open_turns	school_questions	a129_transcript_exact	a129_state_exact
control	making	503	0	fbdc3d0ebc3695e634b4baaaa997349f7f797b92caa6cec32f50841ed8dc1bd0	d74232a27234739be75e16593aa9c4cb9576fd3caddb0ce9fdb3a609284cca46	8	sturdier@1,courage@18	true	true
control	meal	617	0	a043bd2c061e23108995e5f28b51bd10e4bb544b617cf1e542342d2447460cba	563249617a4d58ab009fdb25e87dd63832f7798d0836ef598ac2bd5e0906774e	22	onions@1,onions@3,guides@5,vegetable@7	true	true
control	walk	739	0	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	23c5f6d69200e225b24ea1daab15772142403786164ac33be402826d461dcdc5	22	vulnerable@3	true	true
candidate	making	503	1	fbdc3d0ebc3695e634b4baaaa997349f7f797b92caa6cec32f50841ed8dc1bd0	d74232a27234739be75e16593aa9c4cb9576fd3caddb0ce9fdb3a609284cca46	8	sturdier@1,courage@18	true	true
candidate	meal	617	1	a043bd2c061e23108995e5f28b51bd10e4bb544b617cf1e542342d2447460cba	563249617a4d58ab009fdb25e87dd63832f7798d0836ef598ac2bd5e0906774e	22	onions@1,onions@3,guides@5,vegetable@7	true	true
candidate	walk	739	1	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	23c5f6d69200e225b24ea1daab15772142403786164ac33be402826d461dcdc5	22	vulnerable@3	true	true
