arm	life	seed	unique_answer_dominance	transcript_sha256	state_sha256	wonder_open_turns	school_questions	a125_transcript_exact	a125_state_exact
control	making	503	0	4c4cffa147c3bbe856e9b47825e36255a00e6327eb2340763b400904439cf343	004967b04abfb93c969a610fe37c23bfd71e5deb4ed114144f4ff3e65df4e518	24	sturdier@1	true	true
control	meal	617	0	a043bd2c061e23108995e5f28b51bd10e4bb544b617cf1e542342d2447460cba	d43d8b8e899bc9bb5ccc2d40521c61ca4729128caaee23f74cc4852fc13d8f9f	22	onions@1,onions@3,guides@5,vegetable@7	true	true
control	walk	739	0	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	dae13066ac99ba8db408b20c1e87ca4dfec3e01dc4ef5816c8ef7718715e6027	22	vulnerable@3	true	true
candidate	making	503	1	4c4cffa147c3bbe856e9b47825e36255a00e6327eb2340763b400904439cf343	004967b04abfb93c969a610fe37c23bfd71e5deb4ed114144f4ff3e65df4e518	24	sturdier@1	true	true
candidate	meal	617	1	a043bd2c061e23108995e5f28b51bd10e4bb544b617cf1e542342d2447460cba	d43d8b8e899bc9bb5ccc2d40521c61ca4729128caaee23f74cc4852fc13d8f9f	22	onions@1,onions@3,guides@5,vegetable@7	true	true
candidate	walk	739	1	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	dae13066ac99ba8db408b20c1e87ca4dfec3e01dc4ef5816c8ef7718715e6027	22	vulnerable@3	true	true
